Index,Address,Amount,StartTime,EndTime,Candence,PercentageOnStart
1,0x2bf44E51a6f13128096764714BA758Dc755269d2,100,1665139200,1667731200,10,0
2,0x2bf44E51a6f13128096764714BA758Dc755269d2,200,1665139300,1667731200,10,0
3,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,50,1665139400,1667731200,10,0
4,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,70,1665139500,1667731200,10,0
5,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1200,1665139600,1667731200,10,0
6,0x90F79bf6EB2c4f870365E785982E1f101E93b906,1000,1665139700,1667731200,10,0
7,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,90,1665139800,1667731200,10,0
8,0x976EA74026E726554dB657fA54763abd0C3a0aa9,600,1665139900,1667731200,10,0
9,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,5000,1665139100,1667731200,10,0
10,0xcd3B766CCDd6AE721141F452C550Ca635964ce71,98,1665139550,1667731200,10,0
11,0xbDA5747bFD65F08deb54cb465eB87D40e51B197E,20,1665139260,1667731200,10,0
12,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,4,1665139340,1667731200,10,0
13,0x2546BcD3c84621e976D8185a91A922aE77ECEc30,800,1665139760,1667731200,10,0
14,0x71bE63f3384f5fb98995898A86B02Fb2426c5788,50,1665139120,1667731200,10,0
